
TEST CASES
case	语音	直播时长	视频	语音+视频	pairings
视频	语音+视频	399	601	1	20
视频	语音+视频	599	1	2	16, 25
视频	语音+视频	599	199	1	12
视频	语音+视频	599	399	1	8
视频	语音+视频	599	599	1	4
视频	语音+视频	599	601	1	26
视频	语音+视频	601	1	1	21
视频	语音+视频	601	199	1	22
视频	语音+视频	601	399	1	23
视频	语音+视频	601	599	1	24
视频	语音+视频	601	601	1	17
视频	直播时长	1	59	2	1, 27
视频	直播时长	1	119	3	13, 18, 28
视频	直播时长	1	179	2	5, 30
视频	直播时长	1	181	2	9, 29
视频	直播时长	199	59	1	14
视频	直播时长	199	119	2	2, 31
视频	直播时长	199	179	2	10, 19
视频	直播时长	199	181	1	6
视频	直播时长	399	59	1	7
视频	直播时长	399	119	2	11, 32
视频	直播时长	399	179	1	3
视频	直播时长	399	181	2	15, 20
视频	直播时长	599	59	2	12, 25
视频	直播时长	599	119	1	8
视频	直播时长	599	179	2	16, 26
视频	直播时长	599	181	1	4
视频	直播时长	601	59	2	17, 24
视频	直播时长	601	119	1	21
视频	直播时长	601	179	1	22
视频	直播时长	601	181	1	23
语音+视频	直播时长	1	59	2	1, 25
语音+视频	直播时长	1	119	2	11, 21
语音+视频	直播时长	1	179	1	16
语音+视频	直播时长	1	181	1	6
语音+视频	直播时长	199	59	1	12
语音+视频	直播时长	199	119	1	2
语音+视频	直播时长	199	179	3	5, 22, 30
语音+视频	直播时长	199	181	1	15
语音+视频	直播时长	399	59	1	14
语音+视频	直播时长	399	119	2	8, 31
语音+视频	直播时长	399	179	1	3
语音+视频	直播时长	399	181	2	9, 23
语音+视频	直播时长	599	59	2	7, 24
语音+视频	直播时长	599	119	2	13, 32
语音+视频	直播时长	599	179	1	10
语音+视频	直播时长	599	181	1	4
语音+视频	直播时长	601	59	2	17, 27
语音+视频	直播时长	601	119	2	18, 28
语音+视频	直播时长	601	179	2	19, 26
语音+视频	直播时长	601	181	2	20, 29
